,ratings,comments
308,1,내가 이상한거니? 내려놓을거 다내려놓고 이해하고 보는데도  재미가 너무읍다. 억지스럽고 유치하고 너무나 뻔하다. 브레이킹베드도 좀 섞여있고
309,9,재미있게봄ㅎ
310,1,재밌다 하는데 어디서 웃어야 하는 건지. 스토린 뻔 하고 
311,8,‘스물’보다 훨씬 세련되고 정제된 생활 밀착형 구강 액션 주연 배우들 모두 활어처럼 매력 발산 성공하는 이례적인 코미디
312,6,"처음부터 끝까지 완전 코미디 영화네요. 너무 유치하기도 하지만, 유쾌하고 재미있게 잘 봤습니다."
313,1,"생각보다 뻔했음, 아하늬는 혼자 튀어 보기가 불편...신하균은 악역들에게 밀리는 듯....발목 다치는 조연부터  조연들이 살린 영화. 류승범도 질린다."
314,10,"아 진짜 너무 재밌어요, 그래도 제 눈에는 개그만 신경쓰느라 스토리나 전개가 발전하지 않은게 보이네요ㅜ"
315,8,스토리는 빤하지만  한국코믹영화 중에 중간에 신파 눈물 억지감동 안들어가고  처음부터 끝까지 일관되게 웃긴다는 점에서 굉장히 신선하다
316,10,넘나 웃기고 잘봤으요~ 연기들이 모두 최고!!
317,10,생각보다 너무 잼있어서 보는 내내 웃었네요 ㅎㅎ 2탄도 기대해볼께요 ㅎㅎ
318,10,간만에 웃엇네요 ㅎ
319,7,"저기나오는 수원 왕갈비 통닭 먹어보고 싶다!!!!!! 쩝쩝..........,"
320,7,아!!!!! 정말 치맥을 땡기게 만들어주는 영화로구나!!!!!  
321,7,"초반에는 재미가 있었지만, 중반부로 갈수록 떨어져서 아쉽습니다."
322,7,
323,8,극한직업 제목이 생각이 안나서 .. 재밌긴 재밌더라~ 아무생각없이 시간 없어짐
324,8,재밌게 봤어요. 기대를 많이 안하고 봐서 그런가 빵빵 터지는 부분이 많았어요. 특히 류승룡의 연기가 좋았어요
325,1,
326,1,영화를 첫번째 봤을때 기대하면서 보다 지친다 헛웃음과 허허 하는 정도 마지막에 억지로 넣은 듯 설정 얘들에게는 어울릴듯  2번째 봤을때 폰하면서 나중에 액션만 조금 보고 중간 웃긴 부분 다시 보고 재촬영이 꽤 많은가 보다 감정선도 뒤죽박죽에 액션도 엉켜있는듯한 느낌  망직인데 왜 뜬건지
327,6,그냥 무난한 정도...기대가 커서 그런가? 생각처럼 특별한 느낌은 아녔음..그냥 잼나다 정도였음..;;
328,7,영화 중반부의 이야기 흐름이 지루하게 늘어지기는 했지만  가볍게 보기에는 나쁘지 않은 코미디 영화.
329,10,ㅋㅋㅋ너무 재밌어요 드디어 봤네요 배우들 연기도 좋고 캐릭터들 특색있어서 좋아요ㅋㅋ
330,7,
331,8,완전 재밌어요 .... 엄청 웃었음
332,10,너무 재미있었다~
333,9,격하게 웃었다 ㅇㅁㅂ 이명박?! 완전 빵터짐
334,7,"유쾌하지만, 글쎄? 왜 천만 영화인지는 모르겠다"
335,10,
336,8,재밌게 잘봤습니다 간만에 웃었네요 
337,10,
338,7,"간혹 가다 멘트가 재밌지만 딱 거기까지, 마지막에 액션에 억지로 삽입된 웃음 포인트는  별로였음."
339,7,재밌게 봤슴..
340,10,재밌음 ㅋ
341,8,
342,10,온가족이서 영화보러갔는데 아버지께서 영화보다가 안주무신게 처음이네요 온가족이서 빵터져섴ㅋㅋㅋㅋ  
343,7,작정하고 웃길려고 하면 오히려 덜 웃기는 부작용이
344,8,
345,0,한심을 넘어 경악 완전 억지 웃음....
346,2,
347,10,두번 째 보니깐 더 재미 있음..  재미 없다는 부류들...엄숙한? 인생이 불쌍함..ㅋㅋ
348,10,아무 생각 없이 즐길 수 있는 영화. 코미디는 화끈하고 스토리는 심플하다!
349,7,전 재밌었습니다
350,4,ㅡㅡ
351,9,
352,8,
353,0,억지 웃음 피곤타
354,1,B급 코미디물 비디오용 영화입니다.  유치하고 재미없었음
355,8,저는 재미있게 봤어요! 심오한 영화만 가치있는게 아니라는걸 이 영화보고 느꼈어요 요즘같은 세상에 크게 한바탕 웃을수 있다는게 가치있는거 아닐까요ㅎㅎ 
356,10,마지막에 좀비아님???ㅋㅋㅋㅋㅋㅋㅋ
357,8,크크크...푸하하...오오오오!! 대박.
358,5,초반엔 개존잼이 될것 같다가 슬슬 하향선이더니 막판엔 그냥 그러네 입김이 너무 들어간 영화
359,7,치킨집이 잘 되는 것으로 웃김
360,8,뻔하고 유치한 삼류 영화면 어때 시간 때우고 웃었으면 됐지
361,1,
362,10,간만에 재밌는 영화 봤네...ㅋㅋ
363,1,"거품 심하다 부동산 버블 보다 심하다.  유치하고, 개연성 개판, 억지 웃음, 스토리 부실 반성해라 감독님 완전 참패를 대박으로 만들어 관객 삥뜯은 영화  감독 배우 니들은 좋겠다 돈벌어서 근데 부끄러운지 알아야지?  소트니쿄뱌가 연아님한테 금메달 삥뜯어가는 수준이랄까? "
364,3,"일부러 띄운거라고 밖에 생각할수 없음. 유치, 어색... 이보다 더 재밌는 영화가 얼마나 더 많은데... 도대체 왜~~~?"
365,10,ㅋㅋㅋㅋㅋㅋㅋㅋ 겁나웃겨ㅋㅋㅋ 새벽에 입틀어막고 웃음참는게 어렵다ㅋㅋ
366,8,한눈 팔지 않고 한길만 가는 이런 영화...오랜만이다... 큰 매력으로 다가왔다.
367,10,
368,6,귀여운 코미디. 하지만 그 이상도 그 이하도 아님. 
369,10,"웃기고 쟀있어요...^.,^~~~~"
370,10,오랜만에 재밋는 영화가 나왔네요. 강추!
371,10,완전 재밌었어요!!
372,10,재미짐
373,0,"내나이 46 살다 살다  댓글 달기 첨이네 .. 정말 가족이랑 같이 보다가  중간에 그냥 나오기 첨이네  오마이 갓,,,  정말 1점도 아깝네요 "
374,1,
375,1,진짜 오랜만에 한국식 개삼류 코믹 영화를 보게 될줄은 몰랏네요. 이딴게 1600만이라는 자체가 뭐라 할말이 없군요. 영화 끝날때까지 단한번도 웃지못한 내가 이상한건지..  
376,4,저는 별로 재미 없었어요
377,10,이거 재밋네요 ㅎ
378,1,ㅣ
379,10,
380,2,보다 졸았습니다. 사바하가 훨 잼나네요
381,10,스트레스 풀기 좋은 영화~ 그냥 재미만 느끼며 보니 내내 웃었다 ~ 배우들의 연기가 영화를 살렸네 ~^^
382,5,유치하고 내용도 그닥.. 천만이라고 하도 떠드니까 재밌는줄 알고 더 본듯. 나도 그래서 봤으니까
383,6,물흐르듯~
384,1,이게 천만이라니~~~ 기이할정도로 놀라울 따름입니다. 억지웃음에 썩소를 나오게하는데 ...  클레멘타인이후 핵내상 입음
385,7,재미는 있었지만 천만은 글쎄?
386,1,이게 몬 영화인가 했다  유치하고 질낮은 코미디 영화~~! 운이 참 좋네  이런 영화가 관객수가.. 영화보다 졸리기는 처음인듯..
387,4,진짜 역시 소문은 믿을게 못된다 개노잼이다
388,4,굉장히 잼있다는 얘길 들었는데.. 어이없는 웃음만 나올 뿐.  너무 진부한 개그와 소재.  동떨어진 내용 진행과 스토리. 그냥 삼류 코미디 영화 수준정도. 
389,10,
390,9,
391,10,
